task_id,language_full,number,location,quant_or_neg,vague_adj,language_phrase_1,language_phrase_2,language_phrase_3,language_phrase_4,code_full,code_phrase_1,code_phrase_2,code_phrase_3,code_phrase_4,complexity,example_answer,choice_index,finish_reason,text,codex_language_phrase_1,codex_code_phrase_1,codex_language_phrase_2,codex_code_phrase_2,codex_language_phrase_3,codex_code_phrase_3,codex_language_phrase_4,codex_code_phrase_4
34,"There are eight red blocks on the table, and there are no yellow blocks on the table.",1,,2,,There are eight red blocks on the table.,There are no yellow blocks on the table.,,,"condition(filter(isRed, world.blocks).length == 8);
condition(filter(isYellow, world.blocks).length == 0);","condition(filter(isRed, world.blocks).length == 8);","condition(filter(isYellow, world.blocks).length == 0);",,,medium,1,0,stop,"
// There are eight red blocks on the table.
condition(filter(isRed, world.blocks).length == 8);

// There are no yellow blocks on the table.
condition(filter(isYellow, world.blocks).length == 0);

",There are eight red blocks on the table.,"condition(filter(isRed, world.blocks).length == 8);",There are no yellow blocks on the table.,"condition(filter(isYellow, world.blocks).length == 0);",,,,
35,"There are two tall stacks of yellow blocks, and there are two short stacks of red blocks.",1,,,1,There are two tall stacks of yellow blocks.,There are two short stacks of red blocks.,,,"condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);
condition(filter(isShort, filter(isRed, world.stacks)).length == 2);","condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);","condition(filter(isShort, filter(isRed, world.stacks)).length == 2);",,,medium,6,0,stop,"
// There are two tall stacks of yellow blocks.
condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);

// There are two short stacks of red blocks.
condition(filter(isShort, filter(isRed, world.stacks)).length == 2);

",There are two tall stacks of yellow blocks.,"condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);",There are two short stacks of red blocks.,"condition(filter(isShort, filter(isRed, world.stacks)).length == 2);",,,,
36,"There is one tall stack of red blocks, and there are two short stacks of yellow blocks.",1,,,1,There is one tall stack of red blocks.,There are two short stacks of yellow blocks.,,,"condition(filter(isTall, filter(isRed, world.stacks)).length == 1);
condition(filter(isShort, filter(isYellow, world.stacks)).length == 2);","condition(filter(isTall, filter(isRed, world.stacks)).length == 1);","condition(filter(isShort, filter(isYellow, world.stacks)).length == 2);",,,medium,4,0,stop,"
// There is one tall stack of red blocks.
condition(filter(isTall, filter(isRed, world.stacks)).length == 1);

// There are two short stacks of yellow blocks.
condition(filter(isShort, filter(isYellow, world.stacks)).length == 2);

",There is one tall stack of red blocks.,"condition(filter(isTall, filter(isRed, world.stacks)).length == 1);",There are two short stacks of yellow blocks.,"condition(filter(isShort, filter(isYellow, world.stacks)).length == 2);",,,,
37,"There are two tall stacks of yellow blocks, and there are three short stacks of red blocks.",1,,,1,There are two tall stacks of yellow blocks.,There are three short stacks of red blocks.,,,"condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);
condition(filter(isShort, filter(isRed, world.stacks)).length == 3);","condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);","condition(filter(isShort, filter(isRed, world.stacks)).length == 3);",,,medium,4,0,stop,"
// There are two tall stacks of yellow blocks.
condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);

// There are three short stacks of red blocks.
condition(filter(isShort, filter(isRed, world.stacks)).length == 3);

",There are two tall stacks of yellow blocks.,"condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);",There are three short stacks of red blocks.,"condition(filter(isShort, filter(isRed, world.stacks)).length == 3);",,,,
38,"There are stacks of yellow blocks, and there are stacks of red blocks. All of the yellow stacks are tall, and all of the red stacks are short.",,,1,1,There are stacks of yellow blocks.,There are stacks of red blocks.,All of the yellow stacks are tall.,All of the red stacks are short.,"condition(filter(isYellow, world.stacks).length > 0);
condition(filter(isRed, world.stacks).length > 0);
condition(all(isTall, filter(isYellow, world.stacks)));
condition(all(isShort, filter(isRed, world.stacks)));","condition(filter(isYellow, world.stacks).length > 0);","condition(filter(isRed, world.stacks).length > 0);","condition(all(isTall, filter(isYellow, world.stacks)));","condition(all(isShort, filter(isRed, world.stacks)));",medium,6,0,stop,"
// There are stacks of yellow blocks.
condition(filter(isYellow, world.stacks).length > 0);

// There are stacks of red blocks.
condition(filter(isRed, world.stacks).length > 0);

// All of the yellow stacks are tall.
condition(all(isTall, filter(isYellow, world.stacks)));

// All of the red stacks are short.
condition(all(isShort, filter(isRed, world.stacks)));

",There are stacks of yellow blocks.,"condition(filter(isYellow, world.stacks).length > 0);",There are stacks of red blocks.,"condition(filter(isRed, world.stacks).length > 0);",All of the yellow stacks are tall.,"condition(all(isTall, filter(isYellow, world.stacks)));",All of the red stacks are short.,"condition(all(isShort, filter(isRed, world.stacks)));"
39,"There are stacks of red blocks, and there are stacks of yellow blocks. All of the red stacks are tall, and some of the yellow stacks are tall.",,,1,1,There are stacks of red blocks.,There are stacks of yellow blocks.,All of the red stacks are tall.,Some of the yellow stacks are tall.,"condition(filter(isRed, world.stacks).length > 0);
condition(filter(isYellow, world.stacks).length > 0);
condition(all(isTall, filter(isRed, world.stacks)));
condition(any(isShort, filter(isYellow, world.stacks)));","condition(filter(isRed, world.stacks).length > 0);","condition(filter(isYellow, world.stacks).length > 0);","condition(all(isTall, filter(isRed, world.stacks)));","condition(any(isShort, filter(isYellow, world.stacks)));",medium,2,0,stop,"
// There are stacks of red blocks.
condition(filter(isRed, world.stacks).length > 0);

// There are stacks of yellow blocks.
condition(filter(isYellow, world.stacks).length > 0);

// All of the red stacks are tall.
condition(all(isTall, filter(isRed, world.stacks)));

// Some of the yellow stacks are tall.
condition(filter(isTall, filter(isYellow, world.stacks)).length > 0);

",There are stacks of red blocks.,"condition(filter(isRed, world.stacks).length > 0);",There are stacks of yellow blocks.,"condition(filter(isYellow, world.stacks).length > 0);",All of the red stacks are tall.,"condition(all(isTall, filter(isRed, world.stacks)));",Some of the yellow stacks are tall.,"condition(filter(isTall, filter(isYellow, world.stacks)).length > 0);"
40,"There are some short stacks of yellow blocks, and there are some tall stacks of red blocks.",,,1,1,There are some short stacks of yellow blocks.,There are some tall stacks of red blocks.,,,"condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);
condition(filter(isTall, filter(isRed, world.stacks)).length > 0);","condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);","condition(filter(isTall, filter(isRed, world.stacks)).length > 0);",,,medium,3,0,stop,"
// There are some short stacks of yellow blocks.
condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);

// There are some tall stacks of red blocks.
condition(filter(isTall, filter(isRed, world.stacks)).length > 0);

",There are some short stacks of yellow blocks.,"condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);",There are some tall stacks of red blocks.,"condition(filter(isTall, filter(isRed, world.stacks)).length > 0);",,,,
41,"There are many red blocks on the left side of the table, and there is at most one stack of yellow blocks on the right side.",1,1,1,,There are many red blocks on the left side of the table.,There is at most one stack of yellow blocks on the right side.,,,"condition(filter(isOnLeft, filter(isRed, world.blocks)).length >= 6);
condition(filter(isOnRight, filter(isYellow, world.stacks)).length <= 1);","condition(filter(isOnLeft, filter(isRed, world.blocks)).length >= 6);","condition(filter(isOnRight, filter(isYellow, world.stacks)).length <= 1);",,,high,3,0,stop,"
// There are many red blocks on the left side of the table.
condition(filter(isOnLeft, filter(isRed, world.blocks)).length >= 6);

// There is at most one stack of yellow blocks on the right side.
condition(filter(isOnRight, filter(isYellow, world.stacks)).length <= 1);

",There are many red blocks on the left side of the table.,"condition(filter(isOnLeft, filter(isRed, world.blocks)).length >= 6);",There is at most one stack of yellow blocks on the right side.,"condition(filter(isOnRight, filter(isYellow, world.stacks)).length <= 1);",,,,
42,"There is one stack of yellow blocks on the left side of the table, and there are some red blocks on the middle.",1,1,1,,There is one stack of yellow blocks on the left side of the table.,There are some red blocks on the middle.,,,"condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 1);
condition(filter(isOnMiddle, filter(isRed, world.blocks)).length > 0);","condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 1);","condition(filter(isOnMiddle, filter(isRed, world.blocks)).length > 0);",,,high,6,0,stop,"
// There is one stack of yellow blocks on the left side of the table.
condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 1);

// There are some red blocks on the middle.
condition(filter(isOnMiddle, filter(isRed, world.blocks)).length > 0);

",There is one stack of yellow blocks on the left side of the table.,"condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 1);",There are some red blocks on the middle.,"condition(filter(isOnMiddle, filter(isRed, world.blocks)).length > 0);",,,,
43,"There are many red blocks on the left side of the table, and there are two stacks of yellow blocks on the left side.",1,1,1,,There are many red blocks on the left side of the table.,There are two stacks of yellow blocks on the left side.,,,"condition(filter(isOnLeft, filter(isRed, world.blocks)).length >= 6);
condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 2);","condition(filter(isOnLeft, filter(isRed, world.blocks)).length >= 6);","condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 2);",,,high,4,0,stop,"
// There are many red blocks on the left side of the table.
condition(filter(isOnLeft, filter(isRed, world.blocks)).length >= 6);

// There are two stacks of yellow blocks on the left side.
condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 2);

",There are many red blocks on the left side of the table.,"condition(filter(isOnLeft, filter(isRed, world.blocks)).length >= 6);",There are two stacks of yellow blocks on the left side.,"condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 2);",,,,
44,"There are three yellow blocks on the right side of the table, and there are many red blocks on the right side.",1,1,1,,There are three yellow blocks on the right side of the table.,There are many red blocks on the right side.,,,"condition(filter(isOnRight, filter(isYellow, world.blocks)).length == 3);
condition(filter(isOnRight, filter(isRed, world.blocks)).length >= 6);","condition(filter(isOnRight, filter(isYellow, world.blocks)).length == 3);","condition(filter(isOnRight, filter(isRed, world.blocks)).length >= 6);",,,high,2,0,stop,"
// There are three yellow blocks on the right side of the table.
condition(filter(isOnRight, filter(isYellow, world.blocks)).length == 3);

// There are many red blocks on the right side.
condition(filter(isOnRight, filter(isRed, world.blocks)).length >= 6);

",There are three yellow blocks on the right side of the table.,"condition(filter(isOnRight, filter(isYellow, world.blocks)).length == 3);",There are many red blocks on the right side.,"condition(filter(isOnRight, filter(isRed, world.blocks)).length >= 6);",,,,
45,"There are four red blocks on the left side of the table, and there are no less than five yellow blocks on the right side.",1,1,2,,There are four red blocks on the left side of the table.,There are no less than five yellow blocks on the right side.,,,"condition(filter(isOnLeft, filter(isRed, world.blocks)).length == 4);
condition(filter(isOnRight, filter(isYellow, world.blocks)).length >= 5);","condition(filter(isOnLeft, filter(isRed, world.blocks)).length == 4);","condition(filter(isOnRight, filter(isYellow, world.blocks)).length >= 5);",,,high,5,0,stop,"
// There are four red blocks on the left side of the table.
condition(filter(isOnLeft, filter(isRed, world.blocks)).length == 4);

// There are no less than five yellow blocks on the right side.
condition(filter(isOnRight, filter(isYellow, world.blocks)).length >= 5);

",There are four red blocks on the left side of the table.,"condition(filter(isOnLeft, filter(isRed, world.blocks)).length == 4);",There are no less than five yellow blocks on the right side.,"condition(filter(isOnRight, filter(isYellow, world.blocks)).length >= 5);",,,,
46,"There are eight red blocks on the middle of the table, and no more than half of the blocks on the edges of the table are yellow.",1,1,2,,There are eight red blocks on the middle of the table.,No more than half of the blocks on the edges of the table are yellow.,,,"condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 8);
condition(filter(isYellow, filter(isOnEdge, world.blocks)).length <= filter(isOnEdge, world.blocks).length/2);","condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 8);","condition(filter(isYellow, filter(isOnEdge, world.blocks)).length <= filter(isOnEdge, world.blocks).length/2);",,,high,2,0,stop,"
// There are eight red blocks on the middle of the table.
condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 8);

// No more than half of the blocks on the edges of the table are yellow.
condition(filter(isOnEdge, filter(isYellow, world.blocks)).length <= filter(isOnEdge, world.blocks).length/2);

",There are eight red blocks on the middle of the table.,"condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 8);",No more than half of the blocks on the edges of the table are yellow.,"condition(filter(isOnEdge, filter(isYellow, world.blocks)).length <= filter(isOnEdge, world.blocks).length/2);",,,,
47,"There is one stack of yellow blocks on the middle of the table, and there are two short stacks of red blocks near the yellow stack.",1,1,,1,There is one stack of yellow blocks on the middle of the table.,There are two short stacks of red blocks near the yellow stack.,,,"condition(filter(isOnMiddle, filter(isYellow, world.stacks)).length == 1);
condition(filter(isNear(filter(isOnMiddle, filter(isYellow, world.stacks))[0]), filter(isShort, filter(isRed, world.stacks))).length == 2);","condition(filter(isOnMiddle, filter(isYellow, world.stacks)).length == 1);","condition(filter(isNear(filter(isOnMiddle, filter(isYellow, world.stacks))[0]), filter(isShort, filter(isRed, world.stacks))).length == 2);",,,high,4,0,stop,"
// There is one stack of yellow blocks on the middle of the table.
condition(filter(isOnMiddle, filter(isYellow, world.stacks)).length == 1);

// There are two short stacks of red blocks near the yellow stack.
condition(filter(isNear(filter(isOnMiddle, filter(isYellow, world.stacks))[0]), filter(isShort, filter(isRed, world.stacks))).length == 2);

",There is one stack of yellow blocks on the middle of the table.,"condition(filter(isOnMiddle, filter(isYellow, world.stacks)).length == 1);",There are two short stacks of red blocks near the yellow stack.,"condition(filter(isNear(filter(isOnMiddle, filter(isYellow, world.stacks))[0]), filter(isShort, filter(isRed, world.stacks))).length == 2);",,,,
48,"There is one stack of red blocks on the left edge of the table, and there are two tall stacks of yellow blocks near the red stack.",1,1,,1,There is one stack of red blocks on the left edge of the table.,There are two tall stacks of yellow blocks near the red stack.,,,"condition(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.stacks))).length == 1);
condition(filter(isNear(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.stacks)))[0]), filter(isTall, filter(isYellow, world.stacks))).length == 2);","condition(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.stacks))).length == 1);","condition(filter(isNear(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.stacks)))[0]), filter(isTall, filter(isYellow, world.stacks))).length == 2);",,,high,6,0,stop,"
// There is one stack of red blocks on the left edge of the table.
condition(filter(isOnEdge, filter(isRed, world.stacks)).length == 1);

// There are two tall stacks of yellow blocks near the red stack.
condition(filter(isNear(filter(isOnEdge, filter(isRed, world.stacks))[0]), filter(isTall, filter(isYellow, world.stacks))).length == 2);

",There is one stack of red blocks on the left edge of the table.,"condition(filter(isOnEdge, filter(isRed, world.stacks)).length == 1);",There are two tall stacks of yellow blocks near the red stack.,"condition(filter(isNear(filter(isOnEdge, filter(isRed, world.stacks))[0]), filter(isTall, filter(isYellow, world.stacks))).length == 2);",,,,
49,"There is one stack of yellow blocks on the center of the table, and there is one tall stack of red blocks near the yellow stack.",1,1,,1,There is one stack of yellow blocks on the center of the table.,There is one tall stack of red blocks near the yellow stack.,,,"condition(filter(isOnCenter, filter(isYellow, world.stacks)).length == 1);
condition(filter(isNear(filter(isOnCenter, filter(isYellow, world.stacks))[0]), filter(isTall, filter(isRed, world.stacks))).length == 1);","condition(filter(isOnCenter, filter(isYellow, world.stacks)).length == 1);","condition(filter(isNear(filter(isOnCenter, filter(isYellow, world.stacks))[0]), filter(isTall, filter(isRed, world.stacks))).length == 1);",,,high,3,0,stop,"
// There is one stack of yellow blocks on the center of the table.
condition(filter(isOnCenter, filter(isYellow, world.stacks)).length == 1);

// There is one tall stack of red blocks near the yellow stack.
condition(filter(isNear(filter(isOnCenter, filter(isYellow, world.stacks))[0]), filter(isTall, filter(isRed, world.stacks))).length == 1);

",There is one stack of yellow blocks on the center of the table.,"condition(filter(isOnCenter, filter(isYellow, world.stacks)).length == 1);",There is one tall stack of red blocks near the yellow stack.,"condition(filter(isNear(filter(isOnCenter, filter(isYellow, world.stacks))[0]), filter(isTall, filter(isRed, world.stacks))).length == 1);",,,,
50,"There is one tall stack of red blocks on the right edge of the table, and there are two yellow blocks on the middle of the table.",1,1,,1,There is one tall stack of red blocks on the right edge of the table.,There are two yellow blocks on the middle of the table.,,,"condition(filter(isOnEdge, filter(isOnRight, filter(isTall, filter(isRed, world.stacks)))).length == 1);
condition(filter(isOnMiddle, filter(isYellow, world.blocks)).length == 2);","condition(filter(isOnEdge, filter(isOnRight, filter(isTall, filter(isRed, world.stacks)))).length == 1);","condition(filter(isOnMiddle, filter(isYellow, world.blocks)).length == 2);",,,high,1,0,stop,"
// There is one tall stack of red blocks on the right edge of the table.
condition(filter(isOnEdge, filter(isTall, filter(isRed, world.stacks))).length == 1);

// There are two yellow blocks on the middle of the table.
condition(filter(isOnMiddle, filter(isYellow, world.blocks)).length == 2);

",There is one tall stack of red blocks on the right edge of the table.,"condition(filter(isOnEdge, filter(isTall, filter(isRed, world.stacks))).length == 1);",There are two yellow blocks on the middle of the table.,"condition(filter(isOnMiddle, filter(isYellow, world.blocks)).length == 2);",,,,
51,There are less stacks of yellow blocks than stacks of red blocks on the table. All of the yellow stacks are short. ,,1,1,1,There are less stacks of yellow blocks than stacks of red blocks on the table.,All of the yellow stacks are short. ,,,"condition(filter(isYellow, world.stacks).length < filter(isRed, world.stacks).length);
condition(filter(isYellow, world.stacks).length > 0 && all(isShort, filter(isYellow, world.stacks)));","condition(filter(isYellow, world.stacks).length < filter(isRed, world.stacks).length);","condition(filter(isYellow, world.stacks).length > 0 && all(isShort, filter(isYellow, world.stacks)));",,,high,2,0,stop,"
// There are less stacks of yellow blocks than stacks of red blocks on the table.
condition(filter(isYellow, world.stacks).length < filter(isRed, world.stacks).length);

// All of the yellow stacks are short.
condition(all(isShort, filter(isYellow, world.stacks)));

",There are less stacks of yellow blocks than stacks of red blocks on the table.,"condition(filter(isYellow, world.stacks).length < filter(isRed, world.stacks).length);",All of the yellow stacks are short.,"condition(all(isShort, filter(isYellow, world.stacks)));",,,,
52,"There are several stacks of red blocks on the table, and there are a few blocks on the edges of the table. Less than half of the blocks on the edges are yellow.",,1,1,1,There are several stacks of red blocks on the table.,There are a few blocks on the edges of the table. ,Less than half of the blocks on the edges are yellow.,,"condition(filter(isRed, world.stacks).length > 2 && filter(isRed, world.stacks).length <= 5);
condition(filter(isOnEdge, world.blocks).length > 1 && filter(isOnEdge, world.blocks).length <= 4);
condition(filter(isYellow, filter(isOnEdge, world.blocks)).length < filter(isOnEdge, world.blocks).length/2);","condition(filter(isRed, world.stacks).length > 2 && filter(isRed, world.stacks).length <= 5);","condition(filter(isOnEdge, world.blocks).length > 1 && filter(isOnEdge, world.blocks).length <= 4);","condition(filter(isYellow, filter(isOnEdge, world.blocks)).length < filter(isOnEdge, world.blocks).length/2);",,high,2,0,stop,"
// There are several stacks of red blocks on the table.
condition(filter(isRed, world.stacks).length > 1);

// There are a few blocks on the edges of the table.
condition(filter(isOnEdge, world.blocks).length > 1);

// Less than half of the blocks on the edges are yellow.
condition(filter(isYellow, filter(isOnEdge, world.blocks)).length < filter(isOnEdge, world.blocks).length/2);

",There are several stacks of red blocks on the table.,"condition(filter(isRed, world.stacks).length > 1);",There are a few blocks on the edges of the table.,"condition(filter(isOnEdge, world.blocks).length > 1);",Less than half of the blocks on the edges are yellow.,"condition(filter(isYellow, filter(isOnEdge, world.blocks)).length < filter(isOnEdge, world.blocks).length/2);",,
53,There are more stacks of yellow blocks than stacks of red blocks on the table. None of the yellow stacks are tall. Most of the red stacks are tall.,,1,2,1,There are more stacks of yellow blocks than stacks of red blocks on the table. ,None of the yellow stacks are tall. ,Most of the red stacks are tall.,,"condition(filter(isYellow, world.stacks).length > filter(isRed, world.stacks).length);
condition(filter(isTall, filter(isYellow, world.stacks)).length == 0);
condition(filter(isTall, filter(isRed, world.stacks)).length > filter(isRed, world.stacks).length/2);","condition(filter(isYellow, world.stacks).length > filter(isRed, world.stacks).length);","condition(filter(isTall, filter(isYellow, world.stacks)).length == 0);","condition(filter(isTall, filter(isRed, world.stacks)).length > filter(isRed, world.stacks).length/2);",,high,4,0,stop,"
// There are more stacks of yellow blocks than stacks of red blocks on the table.
condition(filter(isYellow, world.stacks).length > filter(isRed, world.stacks).length);

// None of the yellow stacks are tall.
condition(filter(isTall, filter(isYellow, world.stacks)).length == 0);

// Most of the red stacks are tall.
condition(filter(isTall, filter(isRed, world.stacks)).length > filter(isRed, world.stacks).length/2);

",There are more stacks of yellow blocks than stacks of red blocks on the table.,"condition(filter(isYellow, world.stacks).length > filter(isRed, world.stacks).length);",None of the yellow stacks are tall.,"condition(filter(isTall, filter(isYellow, world.stacks)).length == 0);",Most of the red stacks are tall.,"condition(filter(isTall, filter(isRed, world.stacks)).length > filter(isRed, world.stacks).length/2);",,
54,"There are several stacks of red blocks on the table, and none of the red stacks are tall. There are a few yellow blocks, and all of the yellow blocks are on the egdes of the table.",,1,2,1,There are several stacks of red blocks on the table.,None of the red stacks are tall. ,There are a few yellow blocks.,All of the yellow blocks are on the egdes of the table.,"condition(filter(isRed, world.stacks).length > 2 && filter(isRed, world.stacks).length <= 5);
condition(filter(isTall, filter(isRed, world.stacks)).length == 0);
condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 4);
condition(all(isOnEdge, filter(isYellow, world.blocks)));","condition(filter(isRed, world.stacks).length > 2 && filter(isRed, world.stacks).length <= 5);","condition(filter(isTall, filter(isRed, world.stacks)).length == 0);","condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 4);","condition(all(isOnEdge, filter(isYellow, world.blocks)));",high,5,0,stop,"
// There are several stacks of red blocks on the table.
condition(filter(isRed, world.stacks).length > 1);

// None of the red stacks are tall.
condition(all(isShort, filter(isRed, world.stacks)));

// There are a few yellow blocks.
condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 4);

// All of the yellow blocks are on the egdes of the table.
condition(all(isOnEdge, filter(isYellow, world.blocks)));

",There are several stacks of red blocks on the table.,"condition(filter(isRed, world.stacks).length > 1);",None of the red stacks are tall.,"condition(all(isShort, filter(isRed, world.stacks)));",There are a few yellow blocks.,"condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 4);",All of the yellow blocks are on the egdes of the table.,"condition(all(isOnEdge, filter(isYellow, world.blocks)));"
55,"There are two tall stacks of yellow blocks, and there are several short stacks of red blocks.",1,,1,1,There are two tall stacks of yellow blocks.,There are several short stacks of red blocks.,,,"condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);
condition(filter(isShort, filter(isRed, world.stacks)).length > 2 && filter(isShort, filter(isRed, world.stacks)).length <= 5);","condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);","condition(filter(isShort, filter(isRed, world.stacks)).length > 2 && filter(isShort, filter(isRed, world.stacks)).length <= 5);",,,high,5,0,stop,"
// There are two tall stacks of yellow blocks.
condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);

// There are several short stacks of red blocks.
condition(filter(isShort, filter(isRed, world.stacks)).length > 1);

",There are two tall stacks of yellow blocks.,"condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);",There are several short stacks of red blocks.,"condition(filter(isShort, filter(isRed, world.stacks)).length > 1);",,,,
56,"There are a few tall stacks of red blocks, and there are four stacks of yellow blocks.",1,,1,1,There are a few tall stacks of red blocks.,There are four stacks of yellow blocks.,,,"condition(filter(isTall, filter(isRed, world.stacks)).length > 1 && filter(isTall, filter(isRed, world.stacks)).length <= 4);
condition(filter(isYellow, world.stacks).length == 4);","condition(filter(isTall, filter(isRed, world.stacks)).length > 1 && filter(isTall, filter(isRed, world.stacks)).length <= 4);","condition(filter(isYellow, world.stacks).length == 4);",,,high,4,0,stop,"
// There are a few tall stacks of red blocks.
condition(filter(isTall, filter(isRed, world.stacks)).length > 2 && filter(isTall, filter(isRed, world.stacks)).length <= 5);

// There are four stacks of yellow blocks.
condition(filter(isYellow, world.stacks).length == 4);

",There are a few tall stacks of red blocks.,"condition(filter(isTall, filter(isRed, world.stacks)).length > 2 && filter(isTall, filter(isRed, world.stacks)).length <= 5);",There are four stacks of yellow blocks.,"condition(filter(isYellow, world.stacks).length == 4);",,,,
57,"There are many stacks of blocks on the table. There are no tall yellow stacks, and there are less than four tall red stacks.",1,,2,1,There are many stacks of blocks on the table.,There are no tall yellow stacks.,There are less than four tall red stacks.,,"condition(world.stacks.length >= 6);
condition(filter(isTall, filter(isYellow, world.stacks)).length == 0);
condition(filter(isTall, filter(isRed, world.stacks)).length <= 4);",condition(world.stacks.length >= 6);,"condition(filter(isTall, filter(isYellow, world.stacks)).length == 0);","condition(filter(isTall, filter(isRed, world.stacks)).length <= 4);",,high,3,0,stop,"
// There are many stacks of blocks on the table.
condition(world.stacks.length >= 6);

// There are no tall yellow stacks.
condition(filter(isTall, filter(isYellow, world.stacks)).length == 0);

// There are less than four tall red stacks.
condition(filter(isTall, filter(isRed, world.stacks)).length < 4);

",There are many stacks of blocks on the table.,condition(world.stacks.length >= 6);,There are no tall yellow stacks.,"condition(filter(isTall, filter(isYellow, world.stacks)).length == 0);",There are less than four tall red stacks.,"condition(filter(isTall, filter(isRed, world.stacks)).length < 4);",,
58,"There are three stacks of red blocks, and there are two stacks of yellow blocks. There are no tall red stacks, and there are no short yellow stacks.",1,,2,1,There are three stacks of red blocks.,There are two stacks of yellow blocks. ,There are no tall red stacks.,There are no short yellow stacks.,"condition(filter(isRed, world.stacks).length == 3);
condition(filter(isYellow, world.stacks).length == 2);
condition(filter(isTall, filter(isRed, world.stacks)).length == 0);
condition(filter(isShort, filter(isYellow, world.stacks)).length == 0);","condition(filter(isRed, world.stacks).length == 3);","condition(filter(isYellow, world.stacks).length == 2);","condition(filter(isTall, filter(isRed, world.stacks)).length == 0);","condition(filter(isShort, filter(isYellow, world.stacks)).length == 0);",high,5,0,stop,"
// There are three stacks of red blocks.
condition(filter(isRed, world.stacks).length == 3);

// There are two stacks of yellow blocks.
condition(filter(isYellow, world.stacks).length == 2);

// There are no tall red stacks.
condition(filter(isTall, filter(isRed, world.stacks)).length == 0);

// There are no short yellow stacks.
condition(filter(isShort, filter(isYellow, world.stacks)).length == 0);

",There are three stacks of red blocks.,"condition(filter(isRed, world.stacks).length == 3);",There are two stacks of yellow blocks.,"condition(filter(isYellow, world.stacks).length == 2);",There are no tall red stacks.,"condition(filter(isTall, filter(isRed, world.stacks)).length == 0);",There are no short yellow stacks.,"condition(filter(isShort, filter(isYellow, world.stacks)).length == 0);"
59,"There is one tall stack of yellow blocks on the middle of the table, and there are some red blocks near the yellow stack.",1,1,1,1,There is one tall stack of yellow blocks on the middle of the table.,There are some red blocks near the yellow stack.,,,"condition(filter(isOnMiddle, filter(isTall, filter(isYellow, world.stacks))).length == 1);
condition(filter(isNear(filter(isOnMiddle, filter(isTall, filter(isYellow, world.stacks)))[0]), filter(isRed, world.blocks)).length > 0);","condition(filter(isOnMiddle, filter(isTall, filter(isYellow, world.stacks))).length == 1);","condition(filter(isNear(filter(isOnMiddle, filter(isTall, filter(isYellow, world.stacks)))[0]), filter(isRed, world.blocks)).length > 0);",,,high,6,0,stop,"
// There is one tall stack of yellow blocks on the middle of the table.
condition(filter(isTall, filter(isYellow, filter(isOnMiddle, world.stacks))).length == 1);

// There are some red blocks near the yellow stack.
condition(filter(isRed, filter(isNear(filter(isTall, filter(isYellow, filter(isOnMiddle, world.stacks)))[0]), world.blocks)).length > 0);

",There is one tall stack of yellow blocks on the middle of the table.,"condition(filter(isTall, filter(isYellow, filter(isOnMiddle, world.stacks))).length == 1);",There are some red blocks near the yellow stack.,"condition(filter(isRed, filter(isNear(filter(isTall, filter(isYellow, filter(isOnMiddle, world.stacks)))[0]), world.blocks)).length > 0);",,,,
